dept_id,hospital_id,hospital_name,department_name,description,floor,block,head_doctor,contact_ext,opd_timings,beds_allocated,is_active
DEPT0161,HOSP015,Motherhood Hospital,Ophthalmology,Eye care & surgery,3,A,Dr. Ravi Iyer,557,Mon-Sat 9:00 AM – 5:00 PM,70,True
DEPT0162,HOSP015,Motherhood Hospital,Endocrinology,Hormonal & metabolic disorders,3,A,Dr. Priya Sharma,185,Mon-Sat 9:00 AM – 5:00 PM,42,True
DEPT0163,HOSP015,Motherhood Hospital,Plastic Surgery,Reconstructive & cosmetic surgery,2,A,Dr. Priya Kumar,603,Mon-Sat 9:00 AM – 5:00 PM,24,True
DEPT0164,HOSP015,Motherhood Hospital,ENT,"Ear, nose & throat care",5,D,Dr. Rajesh Iyer,238,Mon-Sat 9:00 AM – 5:00 PM,47,True
DEPT0165,HOSP015,Motherhood Hospital,Psychiatry,Mental health & behavioral care,5,B,Dr. Kavita Reddy,549,Mon-Sat 9:00 AM – 5:00 PM,19,True
DEPT0166,HOSP015,Motherhood Hospital,Gynecology,Women's health & maternity,5,B,Dr. Arun Patel,913,Mon-Sat 9:00 AM – 5:00 PM,36,True
DEPT0167,HOSP015,Motherhood Hospital,Pulmonology,Lung & respiratory care,5,C,Dr. Kavita Sharma,909,Mon-Sat 9:00 AM – 5:00 PM,32,True
DEPT0168,HOSP015,Motherhood Hospital,Gastroenterology,Digestive system disorders,6,C,Dr. Kavita Kumar,760,Mon-Sat 9:00 AM – 5:00 PM,27,True
DEPT0169,HOSP015,Motherhood Hospital,Emergency Medicine,24/7 emergency & trauma care,4,B,Dr. Priya Sharma,923,Mon-Sat 9:00 AM – 5:00 PM,75,True
DEPT0170,HOSP015,Motherhood Hospital,Pediatrics,Child health & development,2,D,Dr. Kavita Singh,526,Mon-Sat 9:00 AM – 5:00 PM,25,True
DEPT0171,HOSP015,Motherhood Hospital,Orthopedics,"Bone, joint & muscle care",4,D,Dr. Priya Singh,388,Mon-Sat 9:00 AM – 5:00 PM,40,True
DEPT0172,HOSP015,Motherhood Hospital,Rheumatology,Arthritis & autoimmune care,5,D,Dr. Priya Sharma,108,Mon-Sat 9:00 AM – 5:00 PM,77,True
DEPT0173,HOSP015,Motherhood Hospital,Cardiology,Heart & cardiovascular care,4,A,Dr. Anita Iyer,360,Mon-Sat 9:00 AM – 5:00 PM,23,True
DEPT0174,HOSP015,Motherhood Hospital,Dermatology,"Skin, hair & nail care",3,A,Dr. Anita Sharma,129,Mon-Sat 9:00 AM – 5:00 PM,24,True
DEPT0175,HOSP015,Motherhood Hospital,Neurology,Brain & nervous system disorders,6,B,Dr. Rajesh Sharma,821,Mon-Sat 9:00 AM – 5:00 PM,15,True
